county,pop,whitepct,blackpct,pubtransit,livealone,collegepct,medinc,hu,medhomevalue,tourismemp,vacant,rental,pubother,subway,over70pct,over18,army,male,commute30,commute60,healthworker,fbornpct,povpct,gini,govpct,noinsurance,outsidecounty,nonprofitpct,STATE,LandSQMI,popdens,hudens,county2
41035,66310,0.879942693,0.007977681,0.006384991,0.084628859,0.193936779,43522,33418,162100,0.106852633,0.180022742,0.361944384,0.006384991,0,0.133871211,51902,0.005956729,0.499803951,0.135886608,0.023414308,0.099077981,0.030447896,0.203292496,0.4432,0.017893421,0.084293345,0.070368203,0.098179403,Oregon,5941.05,11.1613267,5.62493162,41035
41037,7843,0.910493434,0.001912533,0.001963993,0.053234116,0.154472925,36627,4500,125300,0.088722782,0.223555556,0.362335432,0.001963993,0,0.15772026,6365,0,0.534489354,0.120817844,0.053903346,0.070523237,0.012877725,0.165655172,0.4424,0.048748781,0.081523233,0.052426452,0.067273318,Oregon,8138.985,0.963633672,0.552894495,41037
41039,368882,0.869980102,0.010599596,0.030929072,0.117091126,0.295857378,49958,161531,246500,0.106050982,0.066556884,0.413483221,0.030917075,1.19973E-05,0.117693463,299602,0.000668382,0.492976074,0.192054543,0.045830835,0.10379245,0.034859386,0.185488491,0.4637,0.006828528,0.074951657,0.102381197,0.106250956,Oregon,4553.121,81.01739444,35.47698381,41039
41041,47881,0.881852927,0.006056682,0.012404328,0.085646613,0.241244502,46061,31328,233400,0.205723486,0.3261619,0.355092373,0.012404328,0,0.168584616,39682,0.001376057,0.481401809,0.178936086,0.051616179,0.090422769,0.027463921,0.166836173,0.4448,0.017606731,0.097884878,0.146007289,0.078892698,Oregon,979.765,48.86988206,31.97501442,41041
41043,122870,0.904118174,0.004036787,0.004846779,0.069955348,0.195280735,52097,50011,200900,0.074442873,0.059606886,0.364022964,0.004709975,0.000136804,0.116000651,94708,0.000479626,0.493391389,0.295852002,0.057749881,0.109399488,0.027842435,0.144258625,0.4258,0.011696801,0.067907754,0.519227445,0.086388135,Oregon,2290.131,53.65195266,21.8376154,41043
41045,30431,0.89073642,0.011501429,0.003014034,0.045768396,0.13831406,42478,11841,135500,0.101257629,0.143822312,0.4107319,0.003014034,0,0.102494167,22692,0.00139718,0.544872006,0.215387698,0.065117211,0.09312003,0.073247675,0.229852759,0.4467,0.023580544,0.094640736,0.026835935,0.067042722,Oregon,9887.534,3.077713816,1.197568575,41045
41047,335553,0.810569418,0.013672952,0.018435215,0.066095618,0.227949636,56097,125190,225800,0.081988453,0.066530873,0.40531914,0.018421625,1.35903E-05,0.097513657,251461,0.000689964,0.498678301,0.291594145,0.073273033,0.093203729,0.082144996,0.151635927,0.4312,0.007414839,0.083346741,0.370602457,0.081058276,Oregon,1182.326,283.8075116,105.8845022,41047
41049,11215,0.885956309,0.002318324,0.003004292,0.061631725,0.109180791,55440,4581,133900,0.108328115,0.135778214,0.306390503,0.003004292,0,0.106197058,8070,0,0.506732055,0.305807623,0.067377495,0.052598622,0.126616139,0.155119943,0.3915,0.030891254,0.095403838,0.40650117,0.029012732,Oregon,2031.61,5.520252411,2.254861908,41049
41051,798647,0.778114737,0.054338149,0.1160934,0.132264697,0.445380241,64337,342746,361300,0.111477778,0.060622152,0.458266039,0.105608568,0.010484832,0.078372548,644140,0.00046116,0.495404102,0.392462964,0.074053194,0.09371444,0.073390371,0.1513492,0.4766,0.003646024,0.070598718,0.238315746,0.118198539,Oregon,431.289,1851.767608,794.7014647,41051
41053,81427,0.879806452,0.010966878,0.006400634,0.082278055,0.301331545,58344,31762,242600,0.084001783,0.065172218,0.346120167,0.006400634,0,0.11342675,62597,0.001420279,0.48587078,0.3423855,0.071156135,0.115641711,0.050265882,0.141037089,0.4294,0.018048128,0.062270067,0.728785705,0.086369207,Oregon,740.786,109.9197339,42.87608027,41053
