PLACE,STATE,POP,COLPCT,MEDINC,MHMVAL,MRENT
Aguilita comunidad,Puerto Rico,3928,0.17237213,14962,83900,399
Ahoskie town,North Carolina,4882,0.188730688,31114,99000,753
Ahtanum CDP,Washington,3416,0.15194508,63015,189200,948
Ahuimanu CDP,Hawaii,8239,0.385519591,105844,675000,1680
Aibonito zona urbana,Puerto Rico,8352,0.165922619,16873,105900,464
Aiea CDP,Hawaii,9439,0.348149272,106556,780400,2401
Aiken city,South Carolina,30464,0.440933573,54050,180300,875
Ailey city,Georgia,563,0.381481481,62857,79000,850
Ainaloa CDP,Hawaii,3342,0.115028647,35179,165900,1082
Ainsworth city,Iowa,522,0.176300578,44861,90000,492
Ainsworth city,Iowa,522,0.176300578,44861,90000,492
Ainsworth city,Nebraska,1722,0.202352941,41064,74500,491
Ainsworth city,Nebraska,1722,0.202352941,41064,74500,491
Airmont village,New York,8776,0.395344436,92313,477000,1481
Airport CDP,California,1222,0.03483871,28352,168000,818
Airport Drive village,Missouri,889,0.35125448,67500,173900,816
Airway Heights city,Washington,8285,0.099110752,50030,169300,939
Aitkin city,Minnesota,2282,0.169220945,30000,111600,615
Ajo CDP,Arizona,3279,0.118432386,34019,76400,810
Akeley city,Minnesota,341,0.099630996,40833,71000,754
Akiachak CDP,Alaska,567,0.07266436,38438,75000,425
Akins CDP,Oklahoma,558,0.065902579,36458,106700,980
Akron borough,Pennsylvania,3989,0.276134801,59648,189800,960
Akron city,Iowa,1542,0.172277228,46964,104500,616
Akron city,Iowa,1542,0.172277228,46964,104500,616
Akron city,Ohio,198314,0.21141668,37533,81400,735
Akron city,Ohio,198314,0.21141668,37533,81400,735
Akron town,Indiana,1196,0.130882353,51250,82800,670
Akron town,Indiana,1196,0.130882353,51250,82800,670
Akron town,Indiana,1196,0.130882353,51250,82800,670
Akron town,Colorado,2083,0.119620715,39773,104700,698
Akron town,Colorado,2083,0.119620715,39773,104700,698
Akron town,Colorado,2083,0.119620715,39773,104700,698
Akron village,Michigan,444,0.047619048,45469,60500,744
Akron village,Michigan,444,0.047619048,45469,60500,744
Akron village,New York,2857,0.265592516,52429,124400,682
Akron village,New York,2857,0.265592516,52429,124400,682
Alabaster city,Alabama,32878,0.350692186,78071,170900,1029
Alachua city,Florida,9794,0.37417574,59816,166800,1023
Alafaya CDP,Florida,88542,0.426356998,70434,247800,1412
Alakanuk city,Alaska,837,0.027548209,36250,95800,769
Alamance village,North Carolina,1069,0.373525557,86875,296800,783
Alameda city,California,78462,0.52425619,98150,797300,1720
Alamo CDP,Nevada,1199,0.211125158,56875,120500,639
Alamo CDP,Nevada,1199,0.211125158,56875,120500,639
Alamo CDP,Nevada,1199,0.211125158,56875,120500,639
Alamo CDP,California,15317,0.754883721,230568,1606800,2961
Alamo CDP,California,15317,0.754883721,230568,1606800,2961
Alamo CDP,California,15317,0.754883721,230568,1606800,2961
Alamo city,Texas,19591,0.13382536,39275,70600,545
Alamo city,Texas,19591,0.13382536,39275,70600,545
Alamo Heights city,Texas,8193,0.705214615,132313,579900,1465
Alamo town,Georgia,3362,0.230960265,34375,61700,435
Alamo town,Georgia,3362,0.230960265,34375,61700,435
Alamo town,Georgia,3362,0.230960265,34375,61700,435
Alamo town,Tennessee,2241,0.148288973,39250,100200,650
Alamo town,Tennessee,2241,0.148288973,39250,100200,650
Alamo town,Tennessee,2241,0.148288973,39250,100200,650
Alamogordo city,New Mexico,31230,0.212257881,44133,110800,799
Alamosa city,Colorado,9780,0.258905137,34840,161700,639
Alamosa East CDP,Colorado,1439,0.321167883,64261,147000,718
Alanson village,Michigan,787,0.133333333,35714,91300,753
Alapaha town,Georgia,814,0.077544426,30341,66500,446
Alba city,Missouri,710,0.190274841,52708,75400,531
Alba town,Texas,774,0.124752475,47250,76300,622
Albany city,New York,97889,0.385839607,45500,173300,951
Albany city,New York,97889,0.385839607,45500,173300,951
Albany city,New York,97889,0.385839607,45500,173300,951
Albany city,New York,97889,0.385839607,45500,173300,951
Albany city,New York,97889,0.385839607,45500,173300,951
Albany city,New York,97889,0.385839607,45500,173300,951
Albany city,New York,97889,0.385839607,45500,173300,951
Albany city,New York,97889,0.385839607,45500,173300,951
Albany city,Missouri,2106,0.180055402,37472,70000,525
Albany city,Missouri,2106,0.180055402,37472,70000,525
Albany city,Missouri,2106,0.180055402,37472,70000,525
Albany city,Missouri,2106,0.180055402,37472,70000,525
Albany city,Missouri,2106,0.180055402,37472,70000,525
Albany city,Missouri,2106,0.180055402,37472,70000,525
Albany city,Missouri,2106,0.180055402,37472,70000,525
Albany city,Missouri,2106,0.180055402,37472,70000,525
Albany city,California,19758,0.744067287,88655,812800,1791
Albany city,California,19758,0.744067287,88655,812800,1791
Albany city,California,19758,0.744067287,88655,812800,1791
Albany city,California,19758,0.744067287,88655,812800,1791
Albany city,California,19758,0.744067287,88655,812800,1791
Albany city,California,19758,0.744067287,88655,812800,1791
Albany city,California,19758,0.744067287,88655,812800,1791
Albany city,California,19758,0.744067287,88655,812800,1791
Albany city,Kentucky,2293,0.105695831,19858,66400,396
Albany city,Kentucky,2293,0.105695831,19858,66400,396
Albany city,Kentucky,2293,0.105695831,19858,66400,396
Albany city,Kentucky,2293,0.105695831,19858,66400,396
Albany city,Kentucky,2293,0.105695831,19858,66400,396
Albany city,Kentucky,2293,0.105695831,19858,66400,396
Albany city,Kentucky,2293,0.105695831,19858,66400,396
